TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP,cluster
Masculino,Parda,Privada,510.1,483.8,484.5,492.3,520.0,EM incompleto,ES incompleto,True,19.0,2310.0025,2.25,1.0,0.5,4.75,0
Feminino,Branca,Estadual,583.3,474.1,564.6,599.3,660.0,EM incompleto,PG incompleto,True,18.0,1188.001,0.9,0.4,0.0,1.8,1
Masculino,Branca,Privada,646.5,620.7,801.6,585.7,740.0,PG completo,PG completo,True,18.0,2475.0012500000003,0.75,1.125,0.25,1.5,1
Feminino,Branca,Privada,553.4,495.1,605.8,554.6,880.0,PG incompleto,PG incompleto,True,17.0,2475.0012500000003,1.125,0.5,0.25,2.625,1
Feminino,Branca,Privada,616.3,589.7,682.8,636.7,860.0,PG incompleto,PG incompleto,True,18.0,3300.001666666667,1.0,1.0,0.0,1.6666666666666667,1
Masculino,Branca,Estadual,549.8,565.9,624.0,608.9,780.0,EF-1 incompleto,ES incompleto,True,17.0,550.0016666666667,1.0,0.3333333333333333,0.0,1.6666666666666667,1
Masculino,Branca,Privada,634.2,622.5,753.1,627.3,800.0,PG completo,PG completo,True,17.0,4950.0025000000005,1.5,1.0,0.5,4.0,1
Masculino,Branca,Privada,562.5,469.0,657.7,537.5,900.0,PG completo,PG completo,True,17.0,4950.000833333333,0.75,0.75,0.75,3.583333333333333,1
Feminino,Branca,Privada,592.9,590.9,562.0,594.9,880.0,PG completo,PG completo,True,17.0,1980.0016666666668,1.5,0.6666666666666666,0.6666666666666666,2.333333333333333,1
Masculino,Parda,Estadual,462.3,439.6,477.7,394.9,580.0,EF-2 incompleto,EM incompleto,True,18.0,220.0,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,0
Feminino,Preta,Estadual,491.9,468.6,517.8,523.5,760.0,PG incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.3333333333333333,2.0,0
Feminino,Branca,Privada,468.5,457.4,565.4,428.6,640.0,PG completo,ES incompleto,True,18.0,3135.0012500000003,1.125,0.75,0.75,2.125,0
Masculino,Amarela,Estadual,552.8,512.0,672.9,517.2,640.0,PG incompleto,PG completo,True,17.0,1155.00125,1.125,0.5,0.5,1.5,0
Masculino,Branca,Privada,610.8,573.1,714.2,571.9,840.0,PG completo,PG incompleto,True,18.0,3630.00125,1.125,0.5,0.5,2.875,1
Feminino,Branca,Privada,620.7,643.7,680.8,578.5,880.0,PG completo,PG incompleto,True,18.0,2475.0012500000003,0.5,0.25,0.5,1.25,1
Masculino,Branca,Privada,603.6,648.6,729.9,603.0,760.0,PG completo,PG incompleto,True,18.0,7425.001249999999,1.125,0.75,0.5,2.0,1
Masculino,Preta,Estadual,597.1,560.6,677.7,587.8,580.0,ES incompleto,EF-1 incompleto,True,18.0,412.50125,0.75,0.25,0.25,0.75,1
Feminino,Branca,Estadual,580.9,495.9,632.2,585.9,780.0,EF-2 incompleto,ES incompleto,True,17.0,726.001,0.9,0.2,0.0,1.0,1
Feminino,Branca,Privada,645.6,599.4,776.0,630.9,800.0,PG completo,PG completo,True,18.0,3630.00125,1.125,0.5,0.75,2.0,1
Feminino,Parda,Privada,627.1,573.0,684.5,593.2,800.0,PG incompleto,ES incompleto,True,18.0,2475.0012500000003,1.125,1.125,0.25,1.25,1
Masculino,Preta,Privada,503.1,565.2,636.3,445.9,800.0,EF-1 incompleto,PG completo,True,17.0,3630.00125,1.125,0.25,0.5,2.5,0
Feminino,Amarela,Privada,638.5,667.7,832.2,525.8,920.0,ES incompleto,EM incompleto,True,18.0,2475.0012500000003,1.125,0.75,0.25,1.5,1
Feminino,Preta,Estadual,461.0,392.0,427.2,481.5,540.0,ES incompleto,PG incompleto,True,18.0,550.0016666666667,1.0,0.0,0.0,1.6666666666666667,0
Feminino,Branca,Estadual,546.0,531.8,597.1,553.2,860.0,ES incompleto,ES incompleto,True,17.0,330.0,1.5,0.0,0.0,2.0,1
Feminino,Branca,Privada,633.3,593.6,729.1,653.0,920.0,EF-2 incompleto,ES incompleto,True,18.0,1485.00125,0.0,0.25,0.5,1.5,1
Feminino,Branca,Privada,552.9,481.7,596.8,590.9,800.0,PG completo,PG incompleto,True,18.0,4455.00125,1.125,0.75,0.5,2.625,1
Masculino,Branca,Privada,543.2,541.5,651.3,485.5,620.0,PG incompleto,PG incompleto,True,17.0,1716.0010000000002,0.2,0.4,0.9,2.4,0
Feminino,Parda,Estadual,583.4,572.9,622.4,595.3,880.0,ES incompleto,PG incompleto,True,17.0,742.50125,0.5,0.25,0.25,1.25,1
Masculino,Parda,Estadual,484.1,451.4,557.4,485.9,440.0,EF-2 incompleto,ES incompleto,True,18.0,594.001,0.6,0.0,0.0,0.8,0
Feminino,Branca,Privada,540.3,498.6,472.3,524.2,720.0,PG completo,ES incompleto,True,17.0,2475.0012500000003,1.125,0.25,0.25,2.375,0
Masculino,Branca,Estadual,587.0,565.5,530.0,519.1,440.0,ES incompleto,PG incompleto,True,18.0,453.750625,0.5625,0.25,0.125,0.875,0
Feminino,Branca,Estadual,614.9,613.8,653.5,598.5,860.0,EM incompleto,ES incompleto,True,18.0,110.0,0.5,0.0,0.0,1.0,1
Feminino,Branca,Estadual,659.4,611.6,691.5,575.7,840.0,PG incompleto,PG incompleto,True,18.0,1485.00125,0.75,0.25,0.5,1.0,1
Masculino,Branca,Privada,612.9,593.6,710.2,566.0,780.0,PG completo,PG completo,True,18.0,4840.001666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,1
Masculino,Preta,Estadual,424.3,376.9,478.6,332.8,580.0,ES incompleto,PG completo,True,18.0,742.50125,0.75,0.25,0.25,1.0,0
Feminino,Branca,Estadual,438.7,519.8,386.2,519.9,800.0,PG completo,ES incompleto,True,18.0,924.001,0.6,0.0,0.2,1.0,0
