TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,N_PESSOAS_CASA,RENDA_MENSAL_CASA,N_CARRO_CASA,N_MOTO_CASA,N_CELULAR_CASA,N_COMP_CASA,INTERNET_CASA,EST_IDADE
Masculino,Branca,Estadual,515.1,459.1,520.3,582.2,660.0,ES incompleto,EM incompleto,4,Até R$1980,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Estadual,423.3,517.3,408.0,422.0,520.0,EM incompleto,ES incompleto,3,Até R$1320,Nenhum,Nenhum,Um,Nenhum,True,17.0
Masculino,Branca,Estadual,593.4,612.1,694.6,593.1,620.0,PG completo,PG completo,4,Até R$6600,Um,Nenhum,Três,Um,True,17.0
Masculino,Branca,Estadual,452.5,509.7,585.7,520.3,480.0,EF-2 incompleto,EF-2 incompleto,5,Até R$1320,Um,Nenhum,Dois,Nenhum,True,18.0
Feminino,Parda,Estadual,484.7,455.8,527.8,497.9,520.0,ES incompleto,ES incompleto,8,Até R$2640,Um,Nenhum,Um,Nenhum,True,18.0
Masculino,Preta,Estadual,546.3,499.3,577.8,508.8,500.0,EF-1 incompleto,ES incompleto,4,Até R$1320,Nenhum,Nenhum,Um,Nenhum,False,18.0
Masculino,Branca,Privada,647.0,617.6,700.1,655.1,840.0,PG incompleto,ES incompleto,4,Até R$6600,Um,Nenhum,Três,Um,True,18.0
Feminino,Branca,Estadual,457.3,451.3,405.1,515.0,480.0,ES incompleto,ES incompleto,3,Até R$3300,Um,Nenhum,Três,Dois,True,18.0
Feminino,Parda,Privada,601.5,596.3,598.0,586.2,740.0,ES incompleto,PG incompleto,3,Até R$7920,Três,Nenhum,Três,Três,True,18.0
Feminino,Branca,Privada,513.1,336.8,679.6,497.7,700.0,PG completo,PG completo,3,Mais de R$26.400,Um,Nenhum,Três,Dois,True,17.0
Feminino,Branca,Privada,557.5,494.6,435.8,435.7,860.0,ES incompleto,ES incompleto,3,Até R$3300,Um,Nenhum,Três,Um,True,18.0
Masculino,Branca,Privada,651.2,612.2,665.9,649.4,540.0,PG completo,PG incompleto,4,Até R$11880,Um,Nenhum,Quatro ou mais,Dois,True,18.0
Feminino,Amarela,Privada,608.5,532.3,748.2,615.9,880.0,PG incompleto,PG incompleto,6,Até R$13200,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Feminino,Preta,Estadual,637.2,541.7,721.1,600.4,820.0,EM incompleto,PG completo,3,Até R$3300,Nenhum,Nenhum,Três,Nenhum,True,18.0
Feminino,Branca,Estadual,527.4,485.5,475.3,533.9,980.0,ES incompleto,ES incompleto,3,Até R$1980,Nenhum,Nenhum,Três,Um,True,18.0
Feminino,Branca,Privada,686.8,611.4,731.6,627.0,880.0,ES incompleto,PG incompleto,2,Até R$11880,Um,Nenhum,Dois,Dois,True,17.0
Feminino,Branca,Privada,466.4,484.5,560.9,488.9,760.0,ES incompleto,PG incompleto,3,Até R$6600,Um,Um,Três,Um,True,17.0
Masculino,Parda,Privada,594.3,554.5,525.5,543.4,620.0,PG incompleto,PG incompleto,4,Até R$7920,Um,Nenhum,Quatro ou mais,Três,True,18.0
Masculino,Preta,Estadual,541.0,428.2,549.7,534.0,320.0,EF-1 incompleto,EF-2 incompleto,4,Até R$6600,Um,Nenhum,Quatro ou mais,Dois,True,18.0
Feminino,Branca,Privada,659.5,661.6,788.9,638.6,900.0,PG completo,PG incompleto,5,Mais de R$26.400,Dois,Nenhum,Quatro ou mais,Dois,True,17.0
Masculino,Branca,Estadual,550.9,449.3,468.6,555.1,620.0,PG incompleto,ES incompleto,4,Até R$13200,Um,Nenhum,Três,Três,True,17.0
Feminino,Amarela,Privada,661.4,664.6,741.5,583.5,740.0,PG completo,PG incompleto,4,Mais de R$26.400,Três,Nenhum,Quatro ou mais,Quatro ou mais,True,18.0
Feminino,Branca,Privada,560.1,487.6,654.8,532.0,660.0,EF-2 incompleto,ES incompleto,3,Até R$7920,Um,Nenhum,Três,Um,True,18.0
Masculino,Parda,Estadual,633.2,589.0,627.3,560.0,640.0,EF-2 incompleto,ES incompleto,3,Até R$3300,Um,Nenhum,Três,Nenhum,True,18.0
Masculino,Branca,Privada,539.5,485.6,474.4,508.1,500.0,ES incompleto,ES incompleto,3,Até R$6600,Dois,Nenhum,Quatro ou mais,Um,True,17.0
Feminino,Preta,Privada,488.3,391.8,367.4,416.6,560.0,EF-1 incompleto,EM incompleto,4,Até R$1320,Um,Nenhum,Um,Nenhum,True,17.0
Masculino,Parda,Estadual,519.3,552.2,429.9,479.0,540.0,EM incompleto,EM incompleto,4,Até R$1320,Nenhum,Nenhum,Um,Nenhum,True,18.0
Masculino,Branca,Privada,654.6,702.4,824.9,569.9,920.0,ES incompleto,ES incompleto,4,Até R$3300,Nenhum,Nenhum,Quatro ou mais,Um,True,17.0
Feminino,Branca,Privada,679.6,710.7,850.8,657.3,940.0,PG incompleto,PG completo,6,Até R$26400,Dois,Nenhum,Quatro ou mais,Dois,True,18.0
Masculino,Branca,Estadual,522.2,415.2,445.5,486.7,560.0,ES incompleto,ES incompleto,4,Até R$3960,Dois,Nenhum,Quatro ou mais,Nenhum,True,17.0
Masculino,Branca,Estadual,473.6,533.6,420.2,471.2,400.0,ES incompleto,ES incompleto,3,Até R$2640,Um,Nenhum,Três,Nenhum,True,18.0
Masculino,Branca,Privada,553.1,570.2,610.4,543.3,700.0,PG incompleto,PG incompleto,3,Até R$10560,Dois,Nenhum,Três,Um,True,17.0
Feminino,Parda,Estadual,517.8,475.5,506.4,568.9,680.0,ES incompleto,ES incompleto,3,Até R$1980,Nenhum,Nenhum,Três,Nenhum,True,18.0
Masculino,Branca,Privada,619.4,745.0,763.9,604.6,960.0,PG completo,PG completo,3,Até R$15840,Dois,Nenhum,Três,Três,True,18.0
Masculino,Parda,Estadual,637.4,553.7,653.5,615.9,440.0,ES incompleto,ES incompleto,3,Até R$3300,Um,Nenhum,Quatro ou mais,Um,True,18.0
Masculino,Branca,Privada,633.3,508.5,483.1,601.3,760.0,ES incompleto,PG completo,4,Até R$7920,Três,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Feminino,Branca,Privada,579.8,464.9,501.1,579.2,580.0,PG incompleto,PG completo,3,Até R$15840,Nenhum,Nenhum,Quatro ou mais,Três,True,18.0
Feminino,Parda,Estadual,510.9,463.6,448.2,518.4,720.0,EF-2 incompleto,PG incompleto,4,Até R$2640,Um,Nenhum,Quatro ou mais,Nenhum,True,17.0
Feminino,Branca,Privada,642.9,539.0,509.7,616.5,880.0,PG completo,ES incompleto,3,Até R$26400,Três,Nenhum,Três,Dois,True,18.0
Masculino,Branca,Privada,610.7,584.5,667.6,568.1,960.0,PG completo,PG completo,5,Até R$26400,Dois,Nenhum,Quatro ou mais,Quatro ou mais,True,17.0
Masculino,Parda,Estadual,369.4,497.4,365.6,398.7,340.0,ES incompleto,ES incompleto,4,Até R$3300,Um,Nenhum,Três,Nenhum,True,17.0
Masculino,Parda,Estadual,638.9,566.2,686.6,566.4,860.0,ES incompleto,ES incompleto,6,Até R$5280,Um,Nenhum,Três,Nenhum,True,18.0
Masculino,Parda,Estadual,577.5,448.7,431.7,507.3,680.0,ES incompleto,EF-2 incompleto,2,Até R$1980,Nenhum,Nenhum,Dois,Nenhum,True,18.0
Feminino,Branca,Estadual,457.6,451.8,414.1,451.5,620.0,ES incompleto,EF-2 incompleto,6,Até R$1320,Um,Nenhum,Três,Nenhum,True,18.0
Feminino,Branca,Estadual,663.7,657.4,736.6,634.0,940.0,PG completo,PG completo,2,Até R$7920,Um,Nenhum,Dois,Dois,True,18.0
Feminino,Preta,Estadual,591.4,528.9,607.3,590.6,720.0,ES incompleto,PG completo,4,Até R$10560,Um,Nenhum,Quatro ou mais,Um,True,17.0
