TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,N_PESSOAS_CASA,RENDA_MENSAL_CASA,N_CARRO_CASA,N_MOTO_CASA,N_GELADEIRA_CASA,N_FREEZER_CASA,N_LAVA_ROUPA_CASA,N_SECA_ROUPA_CASA,N_MICROONDAS_CASA,N_LAVA_LOUCA_CASA,N_TV_CASA,N_CELULAR_CASA,N_COMP_CASA,INTERNET_CASA
3,M,1,1.0,2.0,576.3,523.8,628.1,596.5,600.0,C,C,2,D,A,A,B,A,B,A,A,A,B,B,A,B
2,F,2,1.0,2.0,554.0,0.0,0.0,529.6,420.0,B,D,2,B,A,A,B,B,A,A,B,A,B,A,A,B
2,M,3,1.0,2.0,405.4,399.7,419.6,396.8,320.0,H,E,3,A,A,A,B,A,A,A,A,A,B,D,A,B
3,F,2,1.0,2.0,557.2,477.8,469.4,605.2,620.0,D,E,2,C,A,A,B,B,B,A,B,A,B,B,A,B
3,F,3,1.0,2.0,402.1,399.6,353.8,412.2,600.0,H,E,2,B,A,A,B,B,B,A,A,A,B,C,B,B
3,F,3,1.0,2.0,590.7,590.4,653.8,578.1,800.0,D,E,4,D,B,A,B,A,B,A,A,A,B,C,B,B
3,F,4,1.0,2.0,594.0,537.9,582.2,613.2,760.0,E,E,4,G,A,A,B,A,B,A,B,A,B,E,C,B
2,F,1,1.0,2.0,335.7,538.1,638.4,563.6,660.0,C,D,3,B,A,A,B,A,A,A,B,A,B,B,A,B
2,F,1,1.0,4.0,659.3,645.5,733.8,629.4,800.0,F,E,4,B,A,A,B,B,B,A,A,A,B,C,B,B
3,F,3,1.0,2.0,617.6,474.2,556.0,554.1,640.0,E,E,2,C,B,A,B,B,B,A,B,A,B,C,A,B
3,M,1,1.0,2.0,517.3,397.3,389.3,455.0,500.0,C,D,4,D,B,B,B,B,B,A,B,A,B,E,A,B
3,F,3,1.0,2.0,614.6,502.6,608.0,618.0,900.0,E,E,4,C,A,A,B,B,B,A,B,A,B,E,C,B
2,M,1,1.0,2.0,620.2,568.9,741.0,552.3,700.0,E,E,5,G,B,A,B,B,B,A,B,A,C,D,B,B
2,M,2,1.0,2.0,479.0,415.3,520.0,393.1,380.0,H,E,6,D,B,A,B,A,A,B,A,A,B,E,B,A
2,F,1,1.0,2.0,619.0,571.5,639.1,572.6,680.0,E,E,6,F,B,A,B,B,B,B,B,A,C,E,B,B
3,F,3,1.0,2.0,472.1,488.2,414.1,484.2,660.0,E,E,3,C,B,A,B,A,B,A,B,A,C,D,B,B
3,F,3,1.0,2.0,560.9,549.0,616.1,565.0,660.0,E,E,6,D,B,A,B,B,B,A,B,A,D,E,B,B
3,F,2,1.0,3.0,572.4,512.1,626.7,575.0,800.0,E,E,5,B,A,A,B,A,B,A,A,A,B,C,A,B
2,F,2,1.0,2.0,493.0,464.7,370.6,469.1,540.0,C,C,3,B,A,A,B,B,B,A,A,A,B,D,A,A
3,F,1,1.0,2.0,523.6,518.1,531.5,528.6,600.0,B,D,3,B,A,A,B,A,B,A,B,A,C,D,B,B
