TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
M,1,2.0,576.3,523.8,628.1,596.5,600.0,C,C,B,18.0,1155.0025,0.5,0.0,0.0,1.5
F,2,2.0,557.2,477.8,469.4,605.2,620.0,D,E,B,18.0,825.0025,0.5,0.0,0.0,2.5
F,3,2.0,590.7,590.4,653.8,578.1,800.0,D,E,B,18.0,577.50125,0.5,0.25,0.25,0.75
F,4,2.0,594.0,537.9,582.2,613.2,760.0,E,E,B,18.0,1155.00125,1.125,0.5,0.0,1.0
F,1,4.0,659.3,645.5,733.8,629.4,800.0,F,E,B,17.0,165.0,0.5,0.25,0.0,1.0
F,3,2.0,617.6,474.2,556.0,554.1,640.0,E,E,B,18.0,825.0025,1.0,0.0,0.5,2.5
M,1,2.0,517.3,397.3,389.3,455.0,500.0,C,D,B,18.0,577.50125,1.125,0.0,0.5,1.25
F,3,2.0,614.6,502.6,608.0,618.0,900.0,E,E,B,18.0,412.50125,1.125,0.5,0.0,1.25
M,1,2.0,620.2,568.9,741.0,552.3,700.0,E,E,B,17.0,924.001,0.6,0.2,0.2,1.2
F,1,2.0,619.0,571.5,639.1,572.6,680.0,E,E,B,17.0,605.0008333333334,0.75,0.1666666666666666,0.1666666666666666,1.1666666666666667
F,3,2.0,472.1,488.2,414.1,484.2,660.0,E,E,B,18.0,550.0016666666667,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
F,3,2.0,560.9,549.0,616.1,565.0,660.0,E,E,B,18.0,385.0008333333333,0.75,0.1666666666666666,0.1666666666666666,1.1666666666666667
F,2,3.0,572.4,512.1,626.7,575.0,800.0,E,E,B,18.0,132.0,0.4,0.0,0.0,0.6
F,2,2.0,493.0,464.7,370.6,469.1,540.0,C,C,A,17.0,220.0,1.0,0.0,0.0,1.3333333333333333
F,1,2.0,523.6,518.1,531.5,528.6,600.0,B,D,B,18.0,220.0,1.0,0.3333333333333333,0.0,1.6666666666666667
F,3,2.0,520.0,429.6,463.1,498.0,880.0,E,G,B,18.0,594.001,0.9,0.0,0.2,1.0
F,2,2.0,576.8,444.2,536.1,542.7,480.0,E,D,B,18.0,0.0,0.5,0.5,0.5,2.0
F,3,2.0,539.2,474.5,535.3,552.7,540.0,D,E,B,18.0,0.0,0.3333333333333333,0.0,0.0,0.5
M,3,2.0,604.6,578.4,671.4,589.0,880.0,E,D,B,18.0,412.50125,0.5,0.25,0.0,1.5
M,2,2.0,526.5,468.1,422.4,574.6,880.0,B,E,B,17.0,220.0,1.0,0.0,0.0,1.3333333333333333
F,1,2.0,396.0,450.8,364.3,509.7,720.0,G,E,B,19.0,412.50125,1.125,0.75,0.25,1.5
F,1,2.0,571.8,396.8,590.6,531.4,600.0,E,E,B,19.0,1188.001,0.6,0.2,0.2,0.6
F,1,2.0,610.0,502.8,544.0,535.6,720.0,E,G,B,18.0,577.50125,0.5,0.25,0.5,1.0
F,2,3.0,508.4,396.8,455.2,440.2,320.0,C,C,B,18.0,990.0016666666668,0.6666666666666666,0.3333333333333333,0.0,1.0
F,1,2.0,489.2,504.0,672.4,571.2,900.0,E,F,B,17.0,1210.0016666666668,1.0,0.0,0.3333333333333333,2.0
F,1,2.0,646.4,644.4,787.5,635.7,940.0,C,D,B,17.0,577.50125,1.125,0.25,0.0,1.75
F,1,2.0,496.2,471.2,469.9,562.8,820.0,C,E,B,17.0,577.50125,0.5,0.0,0.0,1.25
F,2,1.0,608.0,576.6,653.8,592.2,800.0,E,D,B,19.0,330.00100000000003,0.9,0.0,0.0,0.8
M,3,4.0,639.4,657.0,728.7,609.3,540.0,F,G,B,18.0,2475.0012500000003,1.125,0.25,0.25,1.5
F,1,2.0,586.6,484.6,581.4,619.6,940.0,F,F,B,18.0,924.001,0.4,0.2,0.0,1.0
F,3,2.0,539.5,535.2,618.9,500.4,760.0,B,E,B,18.0,770.0016666666667,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
F,3,2.0,532.7,421.8,528.9,566.8,580.0,F,G,B,17.0,594.001,0.6,0.6,0.0,1.4
F,1,2.0,586.2,494.9,456.7,584.4,620.0,E,D,B,17.0,330.00100000000003,0.9,0.2,0.6,1.8
M,3,2.0,536.6,524.0,702.8,408.2,620.0,D,E,B,17.0,770.0016666666667,1.0,0.3333333333333333,0.0,1.0
F,2,4.0,574.2,596.7,503.8,656.6,900.0,D,F,B,18.0,1485.00125,0.75,0.5,0.25,2.5
M,1,2.0,461.3,535.8,390.6,426.2,440.0,E,E,B,18.0,770.0016666666667,1.0,0.3333333333333333,0.6666666666666666,2.0
F,3,4.0,484.9,495.4,411.0,544.4,580.0,E,E,B,18.0,165.0,0.75,0.25,0.25,1.25
F,2,2.0,591.0,412.1,410.5,559.1,640.0,E,E,B,17.0,412.50125,1.125,0.0,0.25,1.25
F,1,2.0,657.2,545.4,600.0,567.1,720.0,D,C,A,18.0,577.50125,0.75,0.0,0.0,1.25
F,2,2.0,657.7,589.5,620.4,612.5,640.0,F,E,B,18.0,742.50125,1.125,0.25,0.25,1.5
F,1,2.0,601.8,447.7,485.6,508.9,640.0,E,E,B,18.0,907.50125,1.125,0.25,0.0,2.125
F,2,2.0,515.6,497.5,457.0,655.6,380.0,E,E,B,18.0,0.0,0.5,0.0,0.0,1.5
M,3,2.0,617.7,635.3,652.7,596.7,880.0,C,D,B,17.0,594.001,0.9,0.2,0.2,1.2
F,2,2.0,591.9,482.8,497.2,578.7,600.0,E,E,B,18.0,412.50125,1.125,0.0,0.0,1.0
F,1,2.0,554.4,339.8,511.3,550.7,880.0,E,E,B,17.0,330.00100000000003,0.2,0.0,0.0,0.8
F,1,2.0,368.7,451.3,475.6,467.4,340.0,E,D,B,18.0,577.50125,0.75,0.25,0.25,1.0
F,1,2.0,537.3,550.7,568.7,521.3,820.0,E,F,B,17.0,385.0008333333333,0.75,0.1666666666666666,0.1666666666666666,0.6666666666666666
M,1,4.0,597.2,593.2,695.9,568.9,580.0,E,G,B,17.0,2420.000833333333,0.5,0.3333333333333333,0.1666666666666666,1.3333333333333333
