sex,age,address,internet,Medu,Fedu,famrel,health,reason,higher,traveltime,studytime,paid_mat,paid_por,failures_mat,failures_por,absences_mat,absences_por,G1_mat,G1_por,G2_mat,G2_por,G3_mat,G3_por
F,18,U,no,4,4,4,3,course,yes,2,2,no,no,0,0,6,4,5,0,6,11,6,11
F,17,U,yes,1,1,5,3,course,yes,1,2,no,no,0,0,4,2,5,9,5,11,6,11
F,15,U,yes,1,1,4,3,other,yes,1,2,yes,no,3,0,10,6,7,12,8,13,10,12
F,15,U,yes,4,2,3,5,home,yes,1,3,yes,no,0,0,2,0,15,14,14,14,15,14
F,16,U,no,3,3,4,5,home,yes,1,2,yes,no,0,0,4,0,6,11,10,13,10,13
M,16,U,yes,4,3,5,5,reputation,yes,1,2,yes,no,0,0,10,6,15,12,15,12,15,13
M,16,U,yes,2,2,4,3,home,yes,1,2,no,no,0,0,0,0,12,13,12,12,11,13
F,17,U,no,4,4,4,1,home,yes,2,2,no,no,0,0,6,2,6,10,5,13,6,13
M,15,U,yes,3,2,4,1,home,yes,1,2,yes,no,0,0,0,0,16,15,18,16,19,17
M,15,U,yes,3,4,5,5,home,yes,1,2,yes,no,0,0,0,0,14,12,15,12,15,13
F,15,U,yes,4,4,3,2,reputation,yes,1,2,yes,no,0,0,0,2,10,14,8,14,9,14
F,15,U,yes,2,1,5,4,reputation,yes,3,3,no,no,0,0,4,0,10,10,12,12,12,13
M,15,U,yes,4,4,4,5,course,yes,1,1,yes,no,0,0,2,0,14,12,14,13,14,12
M,15,U,yes,4,3,5,3,course,yes,2,2,yes,no,0,0,2,0,10,12,10,12,11,13
M,15,U,yes,2,2,4,3,home,yes,1,3,no,no,0,0,0,0,14,14,16,14,16,15
F,16,U,yes,4,4,4,2,home,yes,1,1,no,no,0,0,4,6,14,17,14,17,14,17
F,16,U,yes,4,4,3,2,reputation,yes,1,3,yes,no,0,0,6,10,13,13,14,13,14,14
F,16,U,no,3,3,5,4,reputation,yes,3,2,no,no,0,0,4,2,8,13,10,14,10,14
M,17,U,yes,3,2,5,5,course,yes,1,1,no,yes,3,3,16,2,6,8,5,8,5,7
M,16,U,yes,4,3,3,5,home,yes,1,1,yes,no,0,0,4,6,8,12,10,12,10,12
M,15,U,yes,4,3,4,1,reputation,yes,1,2,no,no,0,0,0,0,13,12,14,13,15,14
M,15,U,yes,4,4,5,5,other,yes,1,1,yes,yes,0,0,0,0,12,11,15,12,15,12
M,16,U,yes,4,2,4,5,course,yes,1,2,no,no,0,0,2,0,15,12,15,13,16,14
M,16,U,yes,2,2,5,5,reputation,yes,2,2,no,no,0,0,0,2,13,10,13,10,12,10
F,15,R,yes,2,4,4,5,course,yes,1,3,yes,no,0,0,2,2,10,10,9,11,8,10
F,16,U,yes,2,2,1,5,home,yes,1,1,yes,no,2,0,14,6,6,10,9,11,8,12
M,15,U,yes,2,2,4,5,home,yes,1,1,yes,no,0,0,2,8,12,11,12,12,11,12
M,15,U,yes,4,2,2,1,other,yes,1,1,yes,no,0,0,4,0,15,11,16,11,15,11
M,16,U,yes,3,4,5,5,home,yes,1,2,no,yes,0,0,4,2,11,12,11,12,11,13
M,16,U,yes,4,4,4,5,home,yes,1,2,yes,yes,0,0,16,4,10,12,12,11,11,12
M,15,U,yes,4,4,5,5,home,yes,1,2,yes,yes,0,0,0,0,9,10,11,11,12,11
M,15,U,yes,4,4,4,5,reputation,yes,2,2,no,no,0,0,0,2,17,15,16,15,17,15
M,15,R,yes,4,3,4,5,course,yes,1,2,no,no,0,0,0,0,17,13,16,14,16,15
M,15,U,yes,3,3,5,2,course,yes,1,2,no,no,0,0,0,0,8,13,10,12,12,12
M,16,U,yes,3,2,5,5,home,yes,1,1,yes,no,0,0,0,4,12,12,14,12,15,12
F,15,U,no,2,3,3,5,other,yes,2,1,no,no,0,0,0,4,8,11,7,11,6,11
M,15,U,yes,4,3,5,4,home,yes,1,3,no,no,0,0,2,0,15,14,16,14,18,14
M,16,R,yes,4,4,2,5,reputation,yes,2,3,no,no,0,0,7,4,15,13,16,13,15,13
F,15,R,yes,3,4,4,5,course,yes,1,3,yes,no,0,0,2,2,12,11,12,12,11,12
F,15,R,no,2,2,4,2,reputation,yes,1,1,yes,no,0,0,8,8,14,14,13,13,13,12
F,16,U,yes,2,2,3,3,home,yes,2,2,no,no,1,0,25,16,7,11,10,11,11,10
